ダイレクト商品ID,商品管理番号,商品管理枝番号,サプライヤーID,商品URL,商品名,ショップ名,消費者向け商品説明文,消費者向け商品詳細（サイズ・容量、規格）,JANコード,内訳,参考価格種別,上代価格(税抜),卸価格単価(税抜),セット毎数量,セット卸額(税込),セット卸額(税抜),セット卸額(消費税),税率区分,出荷条件,商品画像1,商品画像2,商品画像3,商品画像4,商品画像5,商品画像6,商品画像7,商品画像8,商品画像9,商品画像10,画像転載可,ネット販売可,ネットオークション可,消費者直送可,品切れ
19794119-2,SY1949Z,SY1949Z-2,755316,https://www.netsea.jp/shop/755316/SY1949Z,2024年秋新作 ワンピース Vネック ロング丈ワンピース レディース 気質 オシャレ 着回し,Primo,これからのシーズンに大人気なワンピースです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するワンピースです。<br>,"■素材：ポリエステル<br>
■カラー：1#、2#<br>
■サイズ：フリーサイズ<br>
着丈約118cm、バスト約92cm、肩幅約36cm、袖丈約60cm<br>",,1#,O,,2252,1,2477,2252,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,19794119_0.jpg,19794119_1.jpg,19794119_2.jpg,19794119_3.jpg,19794119_4.jpg,19794119_5.jpg,19794119_6.jpg,,,,Y,Y,Y,Y,N
19794119-3,SY1949Z,SY1949Z-3,755316,https://www.netsea.jp/shop/755316/SY1949Z,2024年秋新作 ワンピース Vネック ロング丈ワンピース レディース 気質 オシャレ 着回し,Primo,これからのシーズンに大人気なワンピースです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するワンピースです。<br>,"■素材：ポリエステル<br>
■カラー：1#、2#<br>
■サイズ：フリーサイズ<br>
着丈約118cm、バスト約92cm、肩幅約36cm、袖丈約60cm<br>",,2#,O,,2252,1,2477,2252,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,19794119_0.jpg,19794119_1.jpg,19794119_2.jpg,19794119_3.jpg,19794119_4.jpg,19794119_5.jpg,19794119_6.jpg,,,,Y,Y,Y,Y,N
21419209-2,SY2398Z,SY2398Z-2,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,1#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-3,SY2398Z,SY2398Z-3,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,1#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-4,SY2398Z,SY2398Z-4,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,1#(XL),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-5,SY2398Z,SY2398Z-5,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,2#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-6,SY2398Z,SY2398Z-6,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,2#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-7,SY2398Z,SY2398Z-7,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,2#(XL),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-8,SY2398Z,SY2398Z-8,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,3#(M),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
21419209-9,SY2398Z,SY2398Z-9,755316,https://www.netsea.jp/shop/755316/SY2398Z,ブラウス シャツ トップス レディース Vネック 長袖シャツ シフォンシャツ Sweet 韓国風,Primo,これからのシーズンに大人気なトップスです。<br>デイリー使いにおススメです♪<br>一着持っていると大活躍するトップスです。<br>,"■素材：ポリエステル<br>
■カラー：1#〜5#<br>
■サイズ：フリーサイズ<br>
M:着丈約62cm、バスト約114cm、肩幅約32cm、袖丈約63cm<br>
L:着丈約63cm、バスト約118cm、肩幅約33cm、袖丈約64cm<br>
XL:着丈約64cm、バスト約122cm、肩幅約34cm、袖丈約65cm<br>",,3#(L),O,,2258,1,2483,2258,225,0,2万円以上送料無料！ご入金確認後3-5営業日以内商品を発送いたします。,21419209_0.jpg,21419209_1.jpg,21419209_2.jpg,21419209_3.jpg,21419209_4.jpg,21419209_5.jpg,21419209_6.jpg,21419209_7.jpg,21419209_8.jpg,21419209_9.jpg,Y,Y,Y,Y,N
